GeneID,NE,NI,FoldChange,Prob DE,PfamID,Pfam_Description,Unnamed: 7,Unnamed: 8,PANTHER_ID,Panther_Description ,KOG_ID,KOG_Description ,EC_ID,EC_Description,KO_ID,KO_Description ,GO_ID,GO_Description ,Transcription Factor Family,Gmax_BLASTN_TopHit,Gmax_BLASTN_TopHit_Evalue,Gmax_BLASTN_TopHit_%ID,Gmax_BLASTN_Hit2,Gmax_BLASTN_Hit2_Evalue,Gmax_BLASTN_Hit2_%ID,Glyma_BP_GO,Glyma_MF_GO
Phvul.007G142600.1,82039,4692,4.12803498796775,0.999818553574088,PF00042,heme binding,,,"PTHR22924,PTHR22924:SF4","LEGHEMOGLOBIN,NON-SYMBIOTIC HEMOGLOBIN (RHB)",,,,,,,GO:0005506 GO:0020037,iron ion binding_heme binding,,Glyma20g33290.1,1e-110,86.60508083,Glyma10g34280.1,1e-106,86.17511521,,GO:0005506 GO:0020037 
Phvul.007G141900.2,105292,6015,4.12968727811236,0.999818553574088,PF00042,heme binding,,,"PTHR22924,PTHR22924:SF4","LEGHEMOGLOBIN,NON-SYMBIOTIC HEMOGLOBIN (RHB)",,,,,,,GO:0005506 GO:0020037,iron ion binding_heme binding,,Glyma20g33290.1,4e-87,89.56834532,Glyma10g34280.1,4e-87,89.56834532,,GO:0005506 GO:0020037 
Phvul.007G141900.1,82351,4702,4.13043972480715,0.999818553574088,PF00042,heme binding,,,"PTHR22924,PTHR22924:SF4","LEGHEMOGLOBIN,NON-SYMBIOTIC HEMOGLOBIN (RHB)",,,,,,,GO:0005506 GO:0020037,iron ion binding_heme binding,,Glyma20g33290.1,1e-110,86.60508083,Glyma10g34280.1,1e-106,86.17511521,,GO:0005506 GO:0020037 
Phvul.007G142500.1,82334,4701,4.1304487320258,0.999818553574088,PF00042,heme binding,,,"PTHR22924,PTHR22924:SF4","LEGHEMOGLOBIN,NON-SYMBIOTIC HEMOGLOBIN (RHB)",,,,,,,GO:0005506 GO:0020037,iron ion binding_heme binding,,Glyma20g33290.1,1e-110,86.60508083,Glyma10g34280.1,1e-106,86.17511521,,GO:0005506 GO:0020037 
Phvul.007G142200.1,92060,5105,4.17259157634609,0.999922817565097,,,,,"PTHR22924,PTHR22924:SF4","LEGHEMOGLOBIN,NON-SYMBIOTIC HEMOGLOBIN (RHB)",,,,,,,,,,Glyma20g33290.1,4e-37,83.62831858,Glyma20g33290.1,2e-23,90.8045977,,
Phvul.011G048700.1,46,2,4.52356195605701,0.998843617554265,PF00042,heme binding,,,"PTHR22924,PTHR22924:SF4","LEGHEMOGLOBIN,NON-SYMBIOTIC HEMOGLOBIN (RHB)",,,,,,,GO:0005506 GO:0020037,iron ion binding_heme binding,,Glyma11g12980.1,1e-164,90.73275862,Glyma11g12960.1,2e-83,83.70535714,,GO:0005506 GO:0020037 
